iter	Passed	Remaining
921	4003	338
922	4007	334
923	4010	329
924	4014	325
925	4017	321
926	4021	316
927	4025	312
928	4028	307
929	4033	303
930	4037	299
931	4040	294
932	4044	290
933	4048	286
934	4051	281
935	4055	277
936	4059	272
937	4064	268
938	4067	264
939	4071	259
940	4074	255
941	4079	251
942	4083	246
943	4086	242
944	4090	238
945	4094	233
946	4098	229
947	4101	224
948	4105	220
949	4108	216
950	4113	211
951	4116	207
952	4120	203
953	4123	198
954	4128	194
955	4132	190
956	4136	185
957	4140	181
958	4145	177
959	4150	172
960	4154	168
961	4157	164
962	4161	159
963	4165	155
964	4168	151
965	4172	146
966	4176	142
967	4179	138
968	4183	133
969	4186	129
970	4190	125
971	4193	120
972	4197	116
973	4201	112
974	4204	107
975	4209	103
976	4213	99
977	4216	94
978	4220	90
979	4224	86
980	4227	81
981	4230	77
982	4234	73
983	4240	68
984	4246	64
985	4250	60
986	4255	56
987	4259	51
988	4262	47
989	4266	43
990	4270	38
991	4274	34
992	4277	30
993	4281	25
994	4285	21
995	4291	17
996	4296	12
997	4300	8
998	4305	4
999	4308	0
