date;trav;;;;;
11/10/2004;0.012520358;;;;;
11/11/2004;0.793796061;;;;;
11/12/2004;0.220405667;;;;;
11/17/2004;1.797146274;;;;;
11/18/2004;1.166453158;;;;;
11/19/2004;-0.07452645;;;;;
11/22/2004;-0.322569495;;;;;
11/23/2004;1.274976798;;;;;
11/24/2004;-0.302341981;;;;;
11/25/2004;0.085326865;;;;;
11/26/2004;1.602878138;;;;;
11/29/2004;0.364132113;;;;;
11/30/2004;-0.42033198;;;;;
12/01/2004;0.837455875;;;;;
12/02/2004;0.327756586;;;;;
12/03/2004;-0.113027806;;;;;
12/06/2004;0.912717927;;;;;
12/07/2004;0.555800555;;;;;
12/08/2004;-2.268999518;;;;;
12/09/2004;-0.056497287;;;;;
12/10/2004;-1.283333755;;;;;
12/13/2004;1.083520639;;;;;
12/14/2004;0.736012416;;;;;
12/15/2004;0.85625387;;;;;
12/16/2004;0.032683911;;;;;
12/17/2004;0.683591959;;;;;
12/20/2004;-0.47216886;;;;;
12/21/2004;-0.351061558;;;;;
12/22/2004;1.063557578;;;;;
12/23/2004;-0.48762225;;;;;
12/28/2004;0.47061437;;;;;
12/29/2004;0.566524866;;;;;
12/30/2004;0.142914637;;;;;
01/04/2005;0.12011378;;;;;
01/05/2005;-3.278432486;;;;;
01/06/2005;-0.353390811;;;;;
01/07/2005;-0.786291963;;;;;
01/10/2005;0.915929274;;;;;
01/11/2005;-1.082342392;;;;;
01/12/2005;0.175364945;;;;;
1/13/2005;0.336865813;;;;;
1/14/2005;0.750886433;;;;;
1/17/2005;0.301368662;;;;;
1/18/2005;-1.117966688;;;;;
1/19/2005;-1.117199872;;;;;
1/20/2005;0.450214343;;;;;
1/21/2005;-1.739783991;;;;;
1/24/2005;0.44155919;;;;;
1/26/2005;0.841600603;;;;;
1/27/2005;0.720235823;;;;;
1/28/2005;-1.105894874;;;;;
1/31/2005;-0.128241447;;;;;
02/01/2005;0.847664083;;;;;
02/02/2005;-0.442350329;;;;;
02/03/2005;1.041192488;;;;;
02/04/2005;0.578808042;;;;;
02/09/2005;1.874550354;;;;;
02/10/2005;0.93533544;;;;;
02/11/2005;0.154689891;;;;;
2/14/2005;0.416503;;;;;
2/15/2005;-0.240097209;;;;;
2/16/2005;0.144509573;;;;;
2/17/2005;-0.453192924;;;;;
2/18/2005;1.470723187;;;;;
2/21/2005;-0.593082461;;;;;
2/22/2005;0.176632426;;;;;
2/23/2005;-0.221950939;;;;;
2/24/2005;0.956471701;;;;;
2/25/2005;2.443562482;;;;;
2/28/2005;-0.01321765;;;;;
03/01/2005;-0.37669662;;;;;
03/02/2005;-0.575861524;;;;;
03/03/2005;0.674716052;;;;;
03/04/2005;0.670217243;;;;;
03/07/2005;0.756350676;;;;;
03/08/2005;0.363235037;;;;;
03/09/2005;-0.653665506;;;;;
03/10/2005;-0.783576315;;;;;
03/11/2005;0.08108889;;;;;
3/14/2005;-0.822606321;;;;;
3/15/2005;0.039562659;;;;;
3/16/2005;-0.920365297;;;;;
3/17/2005;0.415425037;;;;;
3/18/2005;0.47273183;;;;;
3/21/2005;-0.950978888;;;;;
3/22/2005;-0.34085588;;;;;
3/23/2005;-1.602826389;;;;;
3/24/2005;-0.61559573;;;;;
3/28/2005;0.767100473;;;;;
3/29/2005;-0.751882333;;;;;
3/30/2005;-0.705394077;;;;;
3/31/2005;1.062182901;;;;;
04/01/2005;0.218435083;;;;;
04/04/2005;0.271178519;;;;;
04/05/2005;-0.658698892;;;;;
04/06/2005;-0.679669852;;;;;
04/07/2005;-0.645930054;;;;;
04/08/2005;1.16587481;;;;;
04/11/2005;-0.734296453;;;;;
04/12/2005;0.026091954;;;;;
4/13/2005;0.573391189;;;;;
4/14/2005;-0.271518283;;;;;
4/15/2005;-2.292801958;;;;;
4/18/2005;-0.455791423;;;;;
4/19/2005;0.32021882;;;;;
4/20/2005;1.051363943;;;;;
4/22/2005;-0.701610743;;;;;
4/25/2005;-0.411000661;;;;;
4/26/2005;0.677324983;;;;;
4/27/2005;0.106128668;;;;;
4/28/2005;-0.099637148;;;;;
4/29/2005;-1.398826669;;;;;
05/02/2005;0.580045416;;;;;
05/03/2005;-0.204262713;;;;;
05/04/2005;0.017468618;;;;;
05/05/2005;1.28919017;;;;;
05/06/2005;-0.05498569;;;;;
05/09/2005;0.240238034;;;;;
05/10/2005;-0.209953909;;;;;
05/11/2005;-1.298781746;;;;;
05/12/2005;-0.102968956;;;;;
5/13/2005;-1.028316834;;;;;
5/16/2005;-0.379586564;;;;;
5/17/2005;0.852740818;;;;;
5/18/2005;0.056921623;;;;;
5/19/2005;0.872922443;;;;;
5/20/2005;-0.120217044;;;;;
5/23/2005;-0.582608872;;;;;
5/24/2005;-0.604920169;;;;;
5/25/2005;0.664323746;;;;;
5/27/2005;-0.137313387;;;;;
5/30/2005;1.689714522;;;;;
5/31/2005;0.287767213;;;;;
06/01/2005;-0.397143664;;;;;
06/02/2005;1.416722529;;;;;
06/03/2005;1.09102861;;;;;
06/06/2005;-0.392377725;;;;;
06/07/2005;-1.247667964;;;;;
06/08/2005;-0.708728661;;;;;
06/09/2005;-0.431832038;;;;;
06/10/2005;-0.30670537;;;;;
6/13/2005;0.696793292;;;;;
6/14/2005;-0.07286112;;;;;
6/15/2005;1.339447502;;;;;
6/16/2005;-0.346985305;;;;;
6/17/2005;0.377399247;;;;;
6/20/2005;0.503111576;;;;;
6/21/2005;-0.071901068;;;;;
6/22/2005;-0.541724801;;;;;
6/23/2005;-0.076354915;;;;;
6/24/2005;-1.648050884;;;;;
6/27/2005;0.15089533;;;;;
6/28/2005;0.497284021;;;;;
6/29/2005;0.058612558;;;;;
6/30/2005;-0.245904399;;;;;
07/01/2005;-0.146906208;;;;;
07/04/2005;0.546204832;;;;;
07/05/2005;-0.582854597;;;;;
07/06/2005;-0.844794989;;;;;
07/07/2005;-0.358973821;;;;;
07/08/2005;-0.161657004;;;;;
07/11/2005;-0.06986603;;;;;
07/12/2005;1.625117073;;;;;
7/13/2005;1.186119964;;;;;
7/14/2005;0.666348312;;;;;
7/15/2005;0.135622063;;;;;
7/18/2005;-1.611773391;;;;;
7/19/2005;0.189053162;;;;;
7/20/2005;-0.102834533;;;;;
7/21/2005;0.954025727;;;;;
7/22/2005;0.290331727;;;;;
7/25/2005;-1.027854645;;;;;
7/26/2005;-1.910160898;;;;;
7/27/2005;0.554401288;;;;;
7/28/2005;0.789806755;;;;;
7/29/2005;1.188269737;;;;;
08/01/2005;-0.03708618;;;;;
08/02/2005;0.395531513;;;;;
