"","cdi","ret"
"2015-04-01",0.0095,0.0946701456473207
"2015-05-01",0.0098,-0.0636793101958428
"2015-06-01",0.0107,0.00606572092499746
"2015-07-01",0.0118,-0.0426439845284001
"2015-08-01",0.0111,-0.0870167387905507
"2015-09-01",0.0111,-0.0341855833293678
"2015-10-01",0.0111,0.0178167655044223
"2015-11-01",0.0106,-0.0164639004404119
"2015-12-01",0.0116,-0.0400189039632526
"2016-01-01",0.0105,-0.0703284144352008
"2016-02-01",0.01,0.0574196170534087
"2016-03-01",0.0116,0.156724495026689
"2016-04-01",0.0105,0.0742121378543334
"2016-05-01",0.0111,-0.106348227083092
"2016-06-01",0.0116,0.061119630489193
"2016-07-01",0.0111,0.106334287899244
"2016-08-01",0.0121,0.0102944255558466
"2016-09-01",0.0111,0.00801600604268948
"2016-10-01",0.0105,0.10648209591915
"2016-11-01",0.0104,-0.0476156520226034
"2016-12-01",0.0112,-0.0274963487763404
"2017-01-01",0.0108,0.0711921217095384
"2017-02-01",0.0086,0.0303221969704062
"2017-03-01",0.0105,-0.0254939896811592
"2017-04-01",0.0079,0.00642704322206455
"2017-05-01",0.0093,-0.0420312581229023
"2017-06-01",0.0081,0.00300929285858054
"2017-07-01",0.008,0.0468957218948205
"2017-08-01",0.008,0.0719113432300986
"2017-09-01",0.0064,0.0476769659304317
"2017-10-01",0.0064,0.000188422767411822
"2017-11-01",0.0057,-0.0244665521236165
"2017-12-01",0.0054,0.0522568084347661
"2018-01-01",0.0058,0.10561832907432
"2018-02-01",0.0046,0.00666692611084763
"2018-03-01",0.0053,-0.00134623396803235
"2018-04-01",0.0052,0.00873571723026778
"2018-05-01",0.0052,-0.115078109914618
"2018-06-01",0.0052,-0.053397918127315
"2018-07-01",0.0054,0.0850212079479942
"2018-08-01",0.0057,-0.0326139567769292
"2018-09-01",0.0047,0.0341527873173444
"2018-10-01",0.0054,0.0970022217740834
"2018-11-01",0.0049,0.0235134725112793
"2018-12-01",0.0049,-0.018231418601621
"2019-01-01",0.0054,0.102712708690392
"2019-02-01",0.0049,-0.0187591650746217
"2019-03-01",0.0047,-0.00176964323482132
"2019-04-01",0.0052,0.0097827320583459
"2019-05-01",0.0054,0.00700167817998576
"2019-06-01",0.0047,0.039773521742033
"2019-07-01",0.0057,0.00833424458262577
"2019-08-01",0.005,-0.00667171735680938
"2019-09-01",0.0046,0.0350725669610501
"2019-10-01",0.0048,0.0233539734332826
"2019-11-01",0.0038,0.00940351227061953
"2019-12-01",0.0037,0.0662388431774517
"2020-01-01",0.0038,-0.016425397395162
"2020-02-01",0.0029,-0.0880563772546292
"2020-03-01",0.0034,-0.35531000297018
"2020-04-01",0.0028,0.0975983395809852
